group1,group2,value
tRNA-Arg-CCG-1-2,MDA-Par-1,1
tRNA-Arg-CCG-2-1,MDA-Par-1,1
tRNA-Arg-CCG-1-2,MDA-Par-2,1
tRNA-Arg-CCG-2-1,MDA-Par-2,1
tRNA-Arg-CCG-1-2,MDA-LM2-1,0.687994669
tRNA-Arg-CCG-2-1,MDA-LM2-1,1.670310217
tRNA-Arg-CCG-1-2,MDA-LM2-2,0.668854576
tRNA-Arg-CCG-2-1,MDA-LM2-2,1.720743952
