group1,group2,value
tRNA-Glu-TTC-2-1,MDA-Par-1,1
tRNA-Glu-TTC-4-2,MDA-Par-1,1
tRNA-Glu-TTC-2-1,MDA-Par-2,1
tRNA-Glu-TTC-4-2,MDA-Par-2,1
tRNA-Glu-TTC-2-1,MDA-LM2-1,1.146156556
tRNA-Glu-TTC-4-2,MDA-LM2-1,1.803208113
tRNA-Glu-TTC-2-1,MDA-LM2-2,1.163848681
tRNA-Glu-TTC-4-2,MDA-LM2-2,1.928029808
