gene_id,tRNA-Arg-TCT-4-1,group,,,,,,
Placenta Smooth muscle cells,601.035,1,,,,,,
Placenta Stromal cells,2966.4468,1,,,,,,
Placenta Syncytiotrophoblasts and villous cytotrophoblasts,3978.5786,1,,,,,,
Placenta Trophoblast giant cells,5197.3696,1,,,,,,
Placenta Vascular endothelial cells,5150.7246,1,,,,,,
Spleen Erythroblasts,587.4135,1,,,,,,
Spleen Lymphoid cells,1894.9352,1,,,,,,
Spleen Mesothelial cells,2497.895,1,,,,,,
Spleen Myeloid cells,1192.3232,1,,,,,,
Spleen STC2_TLX1 positive cells,3650.3967,1,,,,,,
Spleen Stromal cells,426.61578,1,,,,,,
Spleen Vascular endothelial cells,795.3587,1,,,,,,
Stomach Ciliated epithelial cells,2801.3215,1,,,,,,
Stomach Goblet cells,4422.4116,1,,,,,,
Stomach Lymphoid cells,528.0214,1,,,,,,
Stomach MUC13_DMBT1 positive cells,1108.1287,1,,,,,,
Stomach Neuroendocrine cells,876.7154,1,,,,,,
Stomach Parietal and chief cells,1813.4414,1,,,,,,
Stomach Squamous epithelial cells,713.2716,1,,,,,,
Stomach Stromal cells,468.7246,1,,,,,,
Stomach Vascular endothelial cells,1196.6858,1,,,,,,
Thymus Antigen presenting cells,716.34674,1,,,,,,
Thymus Thymic epithelial cells,5914.0356,1,,,,,,
Thymus Thymocytes,19344.137,1,,,,,,
