Primary.Site,Case.ID,tissue
Bladder,TCGA-BL-A0C8-01B,Bladder
Bladder,TCGA-BL-A13I-01B,Bladder
Bladder,TCGA-BL-A13J-01B,Bladder
Bladder,TCGA-BL-A13J-11A,Bladder
Bladder,TCGA-BL-A3JM-01A,Bladder
Bladder,TCGA-BT-A0S7-01A,Bladder
Bladder,TCGA-BT-A0YX-01A,Bladder
Bladder,TCGA-BT-A20J-01A,Bladder
Bladder,TCGA-BT-A20N-01A,Bladder
Bladder,TCGA-BT-A20N-11A,Bladder
Bladder,TCGA-BT-A20O-01A,Bladder
Bladder,TCGA-BT-A20P-01A,Bladder
Bladder,TCGA-BT-A20Q-01A,Bladder
Bladder,TCGA-BT-A20Q-11A,Bladder
Bladder,TCGA-BT-A20R-01A,Bladder
Bladder,TCGA-BT-A20R-11A,Bladder
Bladder,TCGA-BT-A20T-01A,Bladder
Bladder,TCGA-BT-A20U-01A,Bladder
Bladder,TCGA-BT-A20U-11A,Bladder
Bladder,TCGA-BT-A20V-01A,Bladder
Bladder,TCGA-BT-A20W-01A,Bladder
Bladder,TCGA-BT-A20W-11A,Bladder
Bladder,TCGA-BT-A20X-01A,Bladder
Bladder,TCGA-BT-A2LA-01A,Bladder
Bladder,TCGA-BT-A2LA-11A,Bladder
Bladder,TCGA-BT-A2LB-01A,Bladder
Bladder,TCGA-BT-A2LB-11A,Bladder
Bladder,TCGA-BT-A2LD-01A,Bladder
Bladder,TCGA-BT-A3PH-01A,Bladder
Bladder,TCGA-BT-A3PJ-01A,Bladder
Bladder,TCGA-BT-A3PK-01A,Bladder
Bladder,TCGA-BT-A42C-01A,Bladder
Bladder,TCGA-BT-A42E-01A,Bladder
Bladder,TCGA-BT-A42F-01A,Bladder
Bladder,TCGA-C4-A0EZ-01A,Bladder
Bladder,TCGA-C4-A0F0-01A,Bladder
Bladder,TCGA-C4-A0F6-01A,Bladder
Bladder,TCGA-CF-A1HR-01A,Bladder
Bladder,TCGA-CF-A1HS-01A,Bladder
Bladder,TCGA-CF-A27C-01A,Bladder
Bladder,TCGA-CF-A3MF-01A,Bladder
Bladder,TCGA-CF-A3MG-01A,Bladder
