,gene_set,gene_number, random_state,epoch,train/test,loss,SmoothL1Loss,SmoothL1Loss_rank,pearson,mae,mse,rmse,spearman
1755949,high_CV,3000,8.0,1000,Test,67.677,688.236,125.958,0.904,688.717,1199452.125,1095.195,0.894
1757951,high_CV,50,9.0,1000,Test,83.215,838.398,125.437,0.927,838.88,1447357.0,1203.062,0.836
1759953,high_CV,100,9.0,1000,Test,70.543,701.575,124.868,0.938,702.057,1032647.312,1016.193,0.886
1761955,high_CV,200,9.0,1000,Test,67.296,681.565,126.099,0.923,682.049,1045243.938,1022.372,0.883
1763957,high_CV,400,9.0,1000,Test,65.492,684.035,125.756,0.91,684.516,1163586.875,1078.697,0.887
1765959,high_CV,600,9.0,1000,Test,62.879,639.508,125.899,0.939,639.988,883049.938,939.707,0.901
1767961,high_CV,800,9.0,1000,Test,65.249,694.606,125.505,0.91,695.083,1199297.25,1095.124,0.886
1769963,high_CV,1000,9.0,1000,Test,61.449,587.808,126.334,0.944,588.286,817472.625,904.142,0.922
1771965,high_CV,1500,9.0,1000,Test,66.62,695.012,124.917,0.91,695.487,1185245.5,1088.69,0.892
1773967,high_CV,2000,9.0,1000,Test,66.912,697.895,124.932,0.915,698.372,1184294.0,1088.253,0.887
1775969,high_CV,2500,9.0,1000,Test,64.636,654.124,125.198,0.917,654.602,1045548.688,1022.521,0.904
1777971,high_CV,3000,9.0,1000,Test,65.105,678.471,125.651,0.925,678.951,1030204.438,1014.99,0.893
1779973,high_CV,50,10.0,1000,Test,83.415,829.793,126.968,0.926,830.276,1319341.5,1148.626,0.84
1781975,high_CV,100,10.0,1000,Test,75.36,812.947,125.873,0.926,813.43,1299375.75,1139.902,0.851
1783977,high_CV,200,10.0,1000,Test,66.278,667.468,126.059,0.927,667.951,967679.25,983.707,0.892
1785979,high_CV,400,10.0,1000,Test,63.65,638.033,126.206,0.934,638.514,915098.312,956.608,0.899
1787981,high_CV,600,10.0,1000,Test,63.852,656.432,125.972,0.924,656.912,1074356.25,1036.512,0.9
1789983,high_CV,800,10.0,1000,Test,63.981,655.86,126.764,0.931,656.339,993942.688,996.967,0.902
1791985,high_CV,1000,10.0,1000,Test,64.074,655.816,124.906,0.921,656.295,1050648.875,1025.012,0.897
1793987,high_CV,1500,10.0,1000,Test,65.235,673.718,126.094,0.92,674.195,1025645.562,1012.742,0.893
1795989,high_CV,2000,10.0,1000,Test,65.749,655.526,125.844,0.918,656.005,1039330.688,1019.476,0.903
1797991,high_CV,2500,10.0,1000,Test,65.042,649.866,124.891,0.919,650.345,1036929.875,1018.298,0.909
1799993,high_CV,3000,10.0,1000,Test,65.92,678.521,125.791,0.922,679.0,1105239.625,1051.304,0.9
1801995,high_feature_2,50,1.0,1000,Test,65.977,659.289,126.646,0.91,659.771,1090736.5,1044.383,0.9
1803997,high_feature_2,100,1.0,1000,Test,71.634,731.101,126.285,0.855,731.584,1626895.75,1275.498,0.858
1805999,high_feature_2,200,1.0,1000,Test,75.858,815.098,126.904,0.816,815.58,2098254.5,1448.535,0.829
1808001,high_feature_2,400,1.0,1000,Test,69.454,706.569,126.13,0.856,707.05,1621876.5,1273.529,0.875
1810003,high_feature_2,600,1.0,1000,Test,70.029,727.649,126.111,0.873,728.128,1542525.75,1241.985,0.885
1812005,high_feature_2,800,1.0,1000,Test,70.485,704.517,125.506,0.868,704.998,1514618.625,1230.698,0.88
1814007,high_feature_2,1000,1.0,1000,Test,66.363,687.715,125.543,0.898,688.195,1255056.875,1120.293,0.89
1816009,high_feature_2,1500,1.0,1000,Test,62.961,642.273,126.533,0.913,642.765,1084191.875,1041.245,0.897
1818011,high_feature_2,2000,1.0,1000,Test,59.56,580.439,124.886,0.939,580.932,790094.75,888.873,0.92
1820013,high_feature_2,2500,1.0,1000,Test,61.261,632.645,126.655,0.926,633.136,963126.75,981.39,0.903
1822015,high_feature_2,50,2.0,1000,Test,68.12,714.77,126.637,0.898,715.252,1247446.75,1116.892,0.883
1824017,high_feature_2,100,2.0,1000,Test,71.434,765.279,126.629,0.867,765.762,1585082.5,1259.001,0.858
1826019,high_feature_2,200,2.0,1000,Test,76.137,779.679,125.975,0.817,780.16,2029004.5,1424.431,0.851
1828021,high_feature_2,400,2.0,1000,Test,70.918,720.633,126.771,0.856,721.112,1643967.5,1282.173,0.881
1830023,high_feature_2,600,2.0,1000,Test,79.867,835.035,126.54,0.806,835.515,2269824.5,1506.594,0.836
1832025,high_feature_2,800,2.0,1000,Test,67.707,685.158,126.388,0.893,685.638,1345628.375,1160.012,0.896
1834027,high_feature_2,1000,2.0,1000,Test,70.83,760.008,126.437,0.868,760.488,1645828.375,1282.898,0.879
1836029,high_feature_2,1500,2.0,1000,Test,63.132,668.209,125.028,0.923,668.7,1023907.562,1011.883,0.894
1838031,high_feature_2,2000,2.0,1000,Test,74.869,751.347,127.291,0.841,751.824,1880116.0,1371.173,0.87
1840033,high_feature_2,2500,2.0,1000,Test,61.78,622.801,125.679,0.929,623.287,892300.0,944.616,0.9
1842035,high_feature_2,50,3.0,1000,Test,69.636,742.034,127.101,0.888,742.518,1364048.25,1167.925,0.871
1844037,high_feature_2,100,3.0,1000,Test,72.985,742.932,125.566,0.853,743.414,1650445.125,1284.697,0.861
1846039,high_feature_2,200,3.0,1000,Test,69.514,709.989,124.895,0.876,710.47,1430590.5,1196.073,0.882
1848041,high_feature_2,400,3.0,1000,Test,72.533,757.903,126.46,0.86,758.383,1697169.125,1302.754,0.87
1850043,high_feature_2,600,3.0,1000,Test,66.187,676.744,125.923,0.9,677.223,1201857.625,1096.293,0.892
1852045,high_feature_2,800,3.0,1000,Test,66.79,641.073,124.658,0.89,641.554,1240610.625,1113.827,0.905
1854047,high_feature_2,1000,3.0,1000,Test,68.871,698.237,125.102,0.871,698.719,1502600.5,1225.806,0.883
1856049,high_feature_2,1500,3.0,1000,Test,64.775,647.755,125.49,0.899,648.236,1210004.5,1100.002,0.894
1858051,high_feature_2,2000,3.0,1000,Test,61.204,632.235,126.657,0.931,632.721,931730.312,965.262,0.906
1860053,high_feature_2,2500,3.0,1000,Test,62.64,663.997,126.045,0.932,664.48,976371.125,988.115,0.897
1862055,high_feature_2,50,4.0,1000,Test,69.874,747.638,127.12,0.895,748.121,1310218.25,1144.648,0.867
1864057,high_feature_2,100,4.0,1000,Test,66.826,672.778,127.556,0.896,673.259,1146147.75,1070.583,0.885
1866059,high_feature_2,200,4.0,1000,Test,67.293,663.415,126.164,0.887,663.897,1279113.25,1130.979,0.893
1868061,high_feature_2,400,4.0,1000,Test,64.336,671.703,125.693,0.914,672.184,1128262.875,1062.197,0.896
1870063,high_feature_2,600,4.0,1000,Test,68.841,696.63,126.575,0.877,697.112,1414138.875,1189.176,0.89
1872065,high_feature_2,800,4.0,1000,Test,65.81,660.577,126.012,0.9,661.057,1199888.125,1095.394,0.897
1874067,high_feature_2,1000,4.0,1000,Test,67.602,697.194,126.587,0.871,697.676,1433963.0,1197.482,0.872
1876069,high_feature_2,1500,4.0,1000,Test,61.286,639.444,126.083,0.93,639.935,943866.25,971.528,0.909
1878071,high_feature_2,2000,4.0,1000,Test,64.011,652.009,126.425,0.909,652.5,1113933.375,1055.43,0.896
1880073,high_feature_2,2500,4.0,1000,Test,61.112,625.872,126.174,0.93,626.356,894917.812,946.001,0.907
1882075,high_feature_2,50,5.0,1000,Test,70.361,698.721,127.193,0.87,699.205,1432042.75,1196.68,0.875
1884077,high_feature_2,100,5.0,1000,Test,81.823,846.741,126.47,0.794,847.222,2397219.75,1548.296,0.838
1886079,high_feature_2,200,5.0,1000,Test,74.277,760.833,128.053,0.845,761.313,1808964.75,1344.978,0.866
1888081,high_feature_2,400,5.0,1000,Test,68.766,690.476,125.959,0.877,690.956,1425784.25,1194.062,0.888
1890083,high_feature_2,600,5.0,1000,Test,70.088,712.89,125.689,0.873,713.37,1549928.875,1244.961,0.891
1892085,high_feature_2,800,5.0,1000,Test,72.043,737.426,126.315,0.861,737.906,1629208.875,1276.405,0.888
1894087,high_feature_2,1000,5.0,1000,Test,65.674,689.225,125.276,0.903,689.706,1251895.375,1118.881,0.883
1896089,high_feature_2,1500,5.0,1000,Test,63.629,642.527,126.326,0.915,643.021,1024269.312,1012.062,0.9
1898091,high_feature_2,2000,5.0,1000,Test,61.376,640.593,126.659,0.931,641.082,905701.438,951.683,0.902
1900093,high_feature_2,2500,5.0,1000,Test,61.11,628.455,126.983,0.941,628.94,869252.375,932.337,0.906
1902095,high_feature_2,50,6.0,1000,Test,74.487,755.556,125.885,0.844,756.038,1712423.875,1308.596,0.863
1904097,high_feature_2,100,6.0,1000,Test,75.756,785.46,127.068,0.828,785.943,1900466.125,1378.574,0.843
1906099,high_feature_2,200,6.0,1000,Test,79.523,810.212,126.042,0.81,810.694,2194469.75,1481.374,0.842
1908101,high_feature_2,400,6.0,1000,Test,74.307,788.591,126.951,0.834,789.071,1937652.5,1391.996,0.847
1910103,high_feature_2,600,6.0,1000,Test,65.726,658.801,124.995,0.895,659.283,1214444.125,1102.018,0.895
1912105,high_feature_2,800,6.0,1000,Test,67.808,645.065,126.042,0.878,645.548,1361010.25,1166.623,0.895
1914107,high_feature_2,1000,6.0,1000,Test,74.279,776.472,126.347,0.838,776.954,1881642.125,1371.73,0.858
1916109,high_feature_2,1500,6.0,1000,Test,62.643,612.273,126.086,0.913,612.765,1062646.375,1030.847,0.905
1918111,high_feature_2,2000,6.0,1000,Test,61.326,603.179,125.479,0.921,603.664,959345.125,979.462,0.91
1920113,high_feature_2,2500,6.0,1000,Test,60.849,617.294,125.342,0.934,617.785,880248.562,938.216,0.91
1922115,high_feature_2,50,7.0,1000,Test,85.099,828.722,126.92,0.771,829.203,2577570.0,1605.481,0.836
1924117,high_feature_2,100,7.0,1000,Test,77.719,804.352,127.208,0.818,804.834,2083833.25,1443.549,0.846
1926119,high_feature_2,200,7.0,1000,Test,74.278,763.514,126.994,0.835,763.994,1867511.125,1366.569,0.859
1928121,high_feature_2,400,7.0,1000,Test,75.437,769.707,125.743,0.823,770.187,2032237.75,1425.566,0.849
1930123,high_feature_2,600,7.0,1000,Test,67.256,684.966,126.145,0.887,685.447,1332738.5,1154.443,0.891
1932125,high_feature_2,800,7.0,1000,Test,65.342,641.66,124.994,0.897,642.142,1204118.375,1097.323,0.9
1934127,high_feature_2,1000,7.0,1000,Test,64.997,647.77,125.49,0.896,648.252,1192976.875,1092.235,0.888
1936129,high_feature_2,1500,7.0,1000,Test,61.518,647.76,126.743,0.924,648.242,1022835.938,1011.354,0.9
1938131,high_feature_2,2000,7.0,1000,Test,61.523,642.886,126.386,0.937,643.379,891387.375,944.133,0.897
1940133,high_feature_2,2500,7.0,1000,Test,61.459,637.561,124.887,0.938,638.046,922247.812,960.337,0.9
1942135,high_feature_2,50,8.0,1000,Test,78.351,813.719,127.195,0.838,814.201,1896717.5,1377.214,0.855
1944137,high_feature_2,100,8.0,1000,Test,67.685,695.933,127.114,0.889,696.415,1298189.0,1139.381,0.875
1946139,high_feature_2,200,8.0,1000,Test,77.359,835.175,126.43,0.834,835.656,2029939.0,1424.759,0.842
1948141,high_feature_2,400,8.0,1000,Test,74.893,785.95,126.878,0.833,786.428,1923863.375,1387.034,0.861
1950143,high_feature_2,600,8.0,1000,Test,66.003,673.37,125.939,0.896,673.851,1237825.125,1112.576,0.895
1952145,high_feature_2,800,8.0,1000,Test,69.065,699.233,126.571,0.872,699.714,1465550.25,1210.599,0.892
1954147,high_feature_2,1000,8.0,1000,Test,62.054,615.643,125.884,0.92,616.126,971154.562,985.472,0.906
1956149,high_feature_2,1500,8.0,1000,Test,63.529,679.736,125.369,0.917,680.221,1108310.625,1052.763,0.885
1958151,high_feature_2,2000,8.0,1000,Test,61.852,623.491,126.151,0.911,623.976,1040745.188,1020.169,0.901
1960153,high_feature_2,2500,8.0,1000,Test,61.633,645.064,125.883,0.933,645.549,951030.062,975.208,0.9
1962155,high_feature_2,50,9.0,1000,Test,74.591,754.278,127.143,0.852,754.76,1728242.375,1314.626,0.874
1964157,high_feature_2,100,9.0,1000,Test,75.093,761.936,127.629,0.84,762.418,1812758.125,1346.387,0.861
1966159,high_feature_2,200,9.0,1000,Test,71.4,755.323,125.615,0.858,755.804,1619104.125,1272.44,0.867
1968161,high_feature_2,400,9.0,1000,Test,74.199,779.024,127.725,0.84,779.504,1848263.125,1359.508,0.852
1970163,high_feature_2,600,9.0,1000,Test,69.536,712.394,126.972,0.869,712.874,1496902.375,1223.48,0.878
1972165,high_feature_2,800,9.0,1000,Test,70.633,714.405,125.152,0.864,714.885,1595677.0,1263.201,0.87
1974167,high_feature_2,1000,9.0,1000,Test,65.029,659.41,124.979,0.896,659.889,1230868.0,1109.445,0.89
1976169,high_feature_2,1500,9.0,1000,Test,60.632,618.51,126.948,0.936,618.993,873576.125,934.653,0.908
1978171,high_feature_2,2000,9.0,1000,Test,60.63,613.766,126.425,0.937,614.259,821344.812,906.281,0.913
1980173,high_feature_2,2500,9.0,1000,Test,60.562,609.237,125.756,0.937,609.725,859399.25,927.038,0.91
1982175,high_feature_2,50,10.0,1000,Test,88.398,899.406,129.428,0.749,899.888,2852233.5,1688.856,0.808
1984177,high_feature_2,100,10.0,1000,Test,76.525,800.436,126.177,0.834,800.918,1930933.25,1389.58,0.845
1986179,high_feature_2,200,10.0,1000,Test,76.458,785.722,127.668,0.823,786.204,2022446.25,1422.127,0.848
1988181,high_feature_2,400,10.0,1000,Test,77.476,772.877,127.459,0.798,773.357,2224257.25,1491.394,0.843
1990183,high_feature_2,600,10.0,1000,Test,64.663,666.929,125.555,0.907,667.41,1198207.75,1094.627,0.892
1992185,high_feature_2,800,10.0,1000,Test,68.567,716.758,127.175,0.875,717.239,1435321.875,1198.049,0.877
1994187,high_feature_2,1000,10.0,1000,Test,63.626,630.559,124.923,0.912,631.04,1035292.875,1017.493,0.907
1996189,high_feature_2,1500,10.0,1000,Test,63.943,664.049,126.398,0.917,664.533,1075416.25,1037.023,0.897
1998191,high_feature_2,2000,10.0,1000,Test,62.917,648.568,126.983,0.917,649.061,1059005.375,1029.08,0.892
2000193,high_feature_2,2500,10.0,1000,Test,61.815,650.443,126.399,0.938,650.927,933926.188,966.399,0.896
