,50,100,200,400,600,800,1000,1500,2000,2500,3000,4000,5000,6000,8000,10000,12000,14000,16000
600-high corr,0.00057729,0.000994756,0.000857251,0.000872865,0.069432507,1,0.10345899,0.000181651,0.000180635,0.000181651,0.000178614,0.000181651,0.000180635,0.000180635,0.000176611,0.000181651,0.000179623,0.000437455,0.000276259
800-high corr,0.000181651,0.000182672,0.000178614,0.000182672,0.000876798,0.12080465,0.307125475,0.000504076,0.000244805,0.000329839,0.000373375,0.000504076,0.000328133,0.000244805,0.000177611,0.000379127,0.000280625,0.000329839,0.000277976
1000-high corr,0.000181651,0.000182672,0.000178614,0.000182672,0.000246128,0.001699395,0.289373896,0.019064815,0.001685738,0.006481595,0.004016546,0.011268247,0.009082427,0.002816906,0.001287489,0.002806562,0.002468863,0.006481595,0.001079836
1500-high corr,0.000180635,0.000181651,0.000177611,0.000181651,0.000181651,0.000180635,0.002151786,0.495642824,0.103589204,0.383598113,0.446945416,1,0.622258515,0.288463726,0.128396358,0.27249486,0.471841408,0.240258166,0.024303878
2000-high corr,0.000180635,0.000181651,0.000177611,0.000181651,0.000181651,0.000180635,0.011237581,1,0.197919511,0.622783737,0.84971543,0.761759969,0.495317454,0.324657576,0.3063959,0.404971593,0.471841408,0.38377765,0.190833672
2500-high corr,0.000181651,0.000182672,0.000178614,0.000182672,0.000182672,0.000181651,0.00099915,0.596286622,0.363985195,0.849883509,0.909416198,0.791029577,0.93960687,0.596424961,0.518947357,0.544895745,0.649778614,0.570169972,0.235415062
2900-high corr,0.000180635,0.000181651,0.000177611,0.000181651,0.000181651,0.000180635,0.001886788,0.383598113,0.544592378,1,0.761234358,0.472175551,0.879694432,0.820396618,0.676896456,0.849771519,0.969793171,0.84993941,0.367844038
50-high CV gene,0.000181651,0.000182672,0.000178614,0.000182672,0.001692558,0.363985195,0.103849582,0.000182672,0.000181651,0.000182672,0.000179623,0.000182672,0.000181651,0.000181651,0.000177611,0.000182672,0.000180635,0.000182672,0.000277976
100-high CV gene,0.000180635,0.000181651,0.000177611,0.000181651,0.000181651,0.00277567,0.762021477,0.000765023,0.000180635,0.001142171,0.000654187,0.000663482,0.000375286,0.000208708,0.000176611,0.000324742,0.000179623,0.000765023,0.000276259
200-high CV gene,0.000180635,0.000181651,0.000177611,0.000181651,0.000181651,0.000180635,0.075331632,0.023134586,0.00049917,0.005740314,0.005667369,0.010052096,0.002168516,0.000868944,0.000316374,0.001924508,0.001665385,0.006461521,0.000276259
400-high CV gene,0.000180635,0.000181651,0.000177611,0.000181651,0.000181651,0.000326434,0.058401685,0.103328758,0.002806562,0.015409103,0.030765746,0.081868624,0.012511349,0.00724067,0.003975248,0.011237581,0.025581296,0.013983258,0.001429958
600-high CV gene,0.000180635,0.000181651,0.000177611,0.000181651,0.000181651,0.000180635,0.012478165,0.344159462,0.008079239,0.031018805,0.025359498,0.130280698,0.095677858,0.023186427,0.007913127,0.012544574,0.028127899,0.041097552,0.00163807
800-high CV gene,0.000181651,0.000182672,0.000178614,0.000182672,0.000182672,0.000244805,0.021037056,0.306760956,0.017215537,0.095928224,0.103068244,0.185545751,0.081868624,0.037348161,0.015254466,0.053722199,0.048939301,0.063822184,0.008920551
1000-high CV gene,0.000181651,0.000182672,0.000178614,0.000182672,0.000182672,0.000244805,0.058496663,0.063822184,0.002193764,0.023186427,0.022979316,0.044993034,0.011237581,0.005092044,0.003128765,0.008079239,0.008978521,0.014019277,0.001436904
1500-high CV gene,0.000181651,0.000182672,0.000178614,0.000182672,0.000182672,0.000328133,0.307125475,0.001147101,0.000181651,0.00099915,0.000758024,0.00057729,0.000282117,0.000181651,0.000177611,0.00021102,0.000180635,0.001706249,0.000277976
2000-high CV gene,0.000179623,0.000180635,0.000176611,0.000180635,0.000180635,0.000324742,0.343431095,0.000986007,0.000179623,0.000868944,0.000751069,0.000571777,0.000242174,0.000179623,0.000175616,0.000208708,0.000178614,0.001692558,0.00027455
2500-high CV gene,0.000176611,0.000177611,0.000173637,0.000177611,0.000177611,0.000426651,0.271771174,0.001287489,0.000176611,0.001287489,0.00096007,0.000569034,0.000238266,0.000176611,0.000172654,0.000177611,0.000175616,0.001287489,0.000269469
3000-high CV gene,0.000181651,0.000182672,0.000178614,0.000182672,0.000182672,0.000244805,0.16165674,0.004586392,0.000328133,0.002185327,0.001298426,0.002487539,0.001685738,0.000574529,0.000321376,0.000761518,0.00057729,0.003610514,0.000277976
50-high feature,0.000663482,0.000768539,0.000430949,0.000329839,0.000182672,0.000181651,0.000180635,0.000182672,0.000181651,0.000182672,0.000179623,0.000182672,0.000181651,0.000181651,0.000177611,0.000182672,0.000180635,0.000182672,0.000277976
100-high feature,0.002816906,0.003185649,0.00572203,0.00220222,0.000283615,0.000181651,0.000180635,0.000182672,0.000181651,0.000182672,0.000179623,0.000182672,0.000181651,0.000181651,0.000177611,0.000182672,0.000180635,0.000182672,0.000277976
200-high feature,0.002185327,0.002193764,0.000651109,0.000437455,0.000181651,0.000180635,0.000179623,0.000181651,0.000180635,0.000181651,0.000178614,0.000181651,0.000180635,0.000180635,0.000176611,0.000181651,0.000179623,0.000181651,0.000276259
400-high feature,0.495967573,0.4055023,0.403906014,0.185876732,0.002827272,0.000244805,0.000326434,0.000182672,0.000181651,0.000182672,0.000179623,0.000182672,0.000181651,0.000181651,0.000177611,0.000182672,0.000180635,0.000182672,0.000277976
600-high feature,0.063822184,0.096053391,0.02303103,0.088852908,0.733633644,0.095552659,0.003535139,0.000181651,0.000180635,0.000181651,0.000178614,0.000181651,0.000180635,0.000180635,0.000176611,0.000181651,0.000179623,0.000181651,0.000276259
800-high feature,0.006461521,0.014019277,0.004525431,0.008127025,0.16165674,0.676896456,0.037348161,0.000182672,0.000181651,0.000182672,0.000179623,0.000182672,0.000181651,0.000181651,0.000177611,0.000182672,0.000180635,0.000182672,0.000277976
1000-high feature,0.000180635,0.000181651,0.000177611,0.000181651,0.000324742,0.009056394,0.59614814,0.010108572,0.001638494,0.00572203,0.004002752,0.009004441,0.008978521,0.00277567,0.002765419,0.002168516,0.001909363,0.004525431,0.00159188
1500-high feature,0.001692558,0.001309423,0.001672152,0.002193764,0.002816906,0.002806562,0.040945222,0.426484622,0.022772884,0.150158349,0.172807833,0.3063959,0.149542496,0.044589738,0.037061586,0.069117748,0.063222829,0.081523505,0.012373503
