gene_id,housekeeping_genes,high_corr,low_CV_rank,high_CV_rank,high_feature,tRNA_related,rRNA_ribosome,high_feature_2
ENSG00000007516.12,0,1,0,0,0,0,0,0
ENSG00000007520.3,1,0,0,0,1,0,1,0
ENSG00000007541.13,0,1,0,0,1,1,0,0
ENSG00000007923.14,1,1,0,0,0,0,0,0
ENSG00000007944.13,0,0,0,0,0,0,1,0
ENSG00000007968.6,0,1,0,0,0,1,0,0
ENSG00000008018.8,1,0,1,0,0,0,0,0
ENSG00000008056.11,0,1,0,0,0,0,0,0
ENSG00000008083.12,0,1,0,0,1,0,0,0
ENSG00000008128.21,0,0,0,0,1,0,0,0
ENSG00000008130.14,0,0,1,0,0,0,1,0
ENSG00000008196.11,0,0,0,1,0,0,0,1
ENSG00000008197.4,0,0,0,1,0,0,0,1
ENSG00000008226.18,0,0,0,0,0,1,0,0
ENSG00000008256.14,0,0,0,0,1,0,0,0
ENSG00000008277.13,0,1,0,0,0,0,0,1
ENSG00000008282.6,1,1,1,0,1,1,0,0
ENSG00000008294.19,1,0,1,0,0,0,0,0
ENSG00000008323.14,0,1,0,0,0,0,0,0
ENSG00000008324.9,1,1,0,0,1,0,0,0
ENSG00000008382.14,1,1,0,0,0,0,1,0
ENSG00000008405.10,0,0,0,0,1,1,0,0
ENSG00000008513.13,0,0,0,0,0,1,0,0
ENSG00000008710.16,0,0,0,0,0,1,0,1
ENSG00000008838.16,1,0,1,0,0,1,0,0
ENSG00000008869.10,0,0,0,0,1,0,0,0
ENSG00000008952.15,1,0,1,0,0,1,0,0
ENSG00000008988.8,0,0,1,0,0,0,1,0
ENSG00000009307.14,0,0,1,0,0,0,1,0
ENSG00000009335.16,1,1,1,0,0,0,0,0
ENSG00000009413.14,0,0,0,0,1,1,0,0
ENSG00000009694.12,0,0,0,1,0,0,0,1
ENSG00000009709.10,0,0,0,1,0,0,0,1
ENSG00000009724.15,0,0,0,0,0,1,0,1
ENSG00000009765.13,0,0,0,1,0,0,0,1
ENSG00000009780.14,0,0,0,0,0,1,0,0
ENSG00000009790.13,0,0,0,0,0,1,0,0
ENSG00000009844.14,1,1,1,0,1,0,0,0
ENSG00000009954.9,1,0,1,0,1,0,1,0
ENSG00000010017.12,0,0,1,0,1,0,0,0
