intersection
ENSG00000168564
ENSG00000160972
ENSG00000120910
ENSG00000085511
ENSG00000156502
ENSG00000113163
ENSG00000163161
ENSG00000169519
ENSG00000151611
ENSG00000110395
ENSG00000109689
ENSG00000138629
ENSG00000008405
ENSG00000135823
ENSG00000169118
ENSG00000067208
ENSG00000197713
ENSG00000170852
ENSG00000136940
ENSG00000080503
ENSG00000137411
ENSG00000106086
ENSG00000126062
ENSG00000167258
ENSG00000138430
ENSG00000172006
ENSG00000165392
ENSG00000029639
ENSG00000121417
ENSG00000177706
ENSG00000164168
ENSG00000122490
ENSG00000125821
ENSG00000187147
ENSG00000135241
ENSG00000145241
ENSG00000085274
ENSG00000085415
ENSG00000122550
ENSG00000186908
ENSG00000170234
ENSG00000138443
ENSG00000091157
ENSG00000014138
ENSG00000132964
ENSG00000172375
ENSG00000122122
ENSG00000138246
ENSG00000085382
ENSG00000166171
ENSG00000187325
ENSG00000205659
ENSG00000103550
ENSG00000110274
ENSG00000228300
ENSG00000101752
ENSG00000204217
ENSG00000107560
ENSG00000157911
ENSG00000064545
ENSG00000133858
ENSG00000137413
ENSG00000160325
ENSG00000109917
ENSG00000105732
ENSG00000007080
ENSG00000123600
ENSG00000186687
ENSG00000157500
ENSG00000188315
ENSG00000164654
ENSG00000116809
ENSG00000166855
ENSG00000141698
ENSG00000053501
ENSG00000114480
ENSG00000088387
ENSG00000008869
ENSG00000136104
ENSG00000004975
ENSG00000133265
ENSG00000197062
ENSG00000219545
ENSG00000070018
ENSG00000147894
ENSG00000032219
ENSG00000278053
ENSG00000120519
ENSG00000104969
ENSG00000047932
ENSG00000142444
ENSG00000068784
ENSG00000149474
ENSG00000177058
ENSG00000048649
ENSG00000166263
ENSG00000189266
ENSG00000110756
ENSG00000160785
ENSG00000105865
ENSG00000164022
ENSG00000153989
ENSG00000154889
ENSG00000179119
ENSG00000064703
ENSG00000104660
ENSG00000163818
ENSG00000131263
ENSG00000143379
ENSG00000143294
ENSG00000143420
ENSG00000108578
ENSG00000118689
ENSG00000247596
ENSG00000153201
ENSG00000076924
ENSG00000073614
ENSG00000147133
ENSG00000106524
ENSG00000136710
ENSG00000168310
ENSG00000183735
ENSG00000172922
ENSG00000139579
ENSG00000110107
ENSG00000105705
ENSG00000122507
ENSG00000011405
ENSG00000113838
ENSG00000113812
ENSG00000158985
ENSG00000025772
ENSG00000108590
ENSG00000011132
ENSG00000162852
ENSG00000136720
ENSG00000198089
ENSG00000168724
ENSG00000061938
ENSG00000110583
ENSG00000039123
ENSG00000196865
ENSG00000095951
ENSG00000159082
ENSG00000164117
ENSG00000167635
ENSG00000163785
ENSG00000167985
ENSG00000119912
ENSG00000037474
ENSG00000183137
ENSG00000149231
ENSG00000148331
ENSG00000120370
ENSG00000116874
ENSG00000149639
ENSG00000049541
ENSG00000153561
ENSG00000149716
ENSG00000170892
ENSG00000110497
ENSG00000159023
ENSG00000130382
ENSG00000145214
ENSG00000113441
ENSG00000240344
ENSG00000164306
ENSG00000126003
ENSG00000132912
ENSG00000244687
ENSG00000175054
ENSG00000186566
ENSG00000125870
ENSG00000075856
ENSG00000122643
ENSG00000204536
ENSG00000171492
ENSG00000001631
ENSG00000204611
ENSG00000167470
ENSG00000116793
ENSG00000117133
ENSG00000146918
ENSG00000123213
ENSG00000177733
ENSG00000137074
ENSG00000172939
ENSG00000178607
ENSG00000162377
ENSG00000249115
ENSG00000130706
ENSG00000244462
ENSG00000139496
ENSG00000074603
ENSG00000018510
ENSG00000081386
ENSG00000153936
ENSG00000175216
ENSG00000112592
ENSG00000114021
ENSG00000067369
ENSG00000112118
ENSG00000166197
ENSG00000171703
ENSG00000221838
ENSG00000155304
ENSG00000188807
ENSG00000116353
ENSG00000163938
ENSG00000104218
ENSG00000121988
ENSG00000085760
ENSG00000131023
ENSG00000165476
ENSG00000053372
ENSG00000160055
ENSG00000162819
ENSG00000174579
ENSG00000172765
ENSG00000118690
ENSG00000166266
ENSG00000164252
ENSG00000156504
ENSG00000189164
ENSG00000144231
ENSG00000015153
ENSG00000104047
ENSG00000113119
ENSG00000137133
ENSG00000167487
ENSG00000064961
ENSG00000102974
ENSG00000162378
ENSG00000096401
ENSG00000213676
ENSG00000185024
ENSG00000133393
ENSG00000175193
ENSG00000103222
ENSG00000146963
ENSG00000138442
ENSG00000121892
ENSG00000183605
ENSG00000120832
ENSG00000257727
ENSG00000196387
ENSG00000144635
ENSG00000174405
ENSG00000155275
ENSG00000145191
ENSG00000130935
ENSG00000082068
ENSG00000170832
ENSG00000123415
ENSG00000186834
ENSG00000133275
ENSG00000061273
ENSG00000125945
ENSG00000083520
ENSG00000150760
ENSG00000112855
ENSG00000059122
ENSG00000154174
ENSG00000137478
ENSG00000083312
ENSG00000168827
ENSG00000117481
ENSG00000176410
ENSG00000175324
ENSG00000120253
ENSG00000100603
ENSG00000117000
ENSG00000114520
ENSG00000113141
ENSG00000104907
ENSG00000106346
ENSG00000100580
ENSG00000100410
ENSG00000107679
ENSG00000133250
ENSG00000132510
ENSG00000196152
ENSG00000111875
ENSG00000116198
ENSG00000275835
ENSG00000170631
ENSG00000123352
ENSG00000156469
ENSG00000204227
ENSG00000107643
ENSG00000137822
ENSG00000165322
ENSG00000116903
ENSG00000164031
ENSG00000172007
ENSG00000112640
ENSG00000137200
ENSG00000114770
ENSG00000105325
ENSG00000158290
ENSG00000058600
ENSG00000145041
ENSG00000154945
ENSG00000165732
ENSG00000065457
ENSG00000008256
ENSG00000132005
ENSG00000163904
ENSG00000140743
ENSG00000150527
ENSG00000214413
ENSG00000110066
ENSG00000102786
ENSG00000131732
ENSG00000184436
ENSG00000101945
ENSG00000276234
ENSG00000137992
ENSG00000113971
ENSG00000130584
ENSG00000136536
ENSG00000058729
ENSG00000130699
ENSG00000140350
ENSG00000129071
ENSG00000133884
ENSG00000107651
ENSG00000184178
ENSG00000175768
ENSG00000162337
ENSG00000115289
ENSG00000140025
ENSG00000068383
ENSG00000275052
ENSG00000124151
ENSG00000185340
ENSG00000078687
ENSG00000164134
ENSG00000087152
ENSG00000163528
ENSG00000274523
ENSG00000154814
ENSG00000145916
ENSG00000130511
ENSG00000149636
ENSG00000147121
ENSG00000197044
ENSG00000138078
ENSG00000106299
ENSG00000143977
ENSG00000135372
ENSG00000065268
ENSG00000163811
ENSG00000122565
ENSG00000141564
ENSG00000198081
ENSG00000068971
ENSG00000144036
ENSG00000114026
ENSG00000169592
ENSG00000158480
ENSG00000172466
ENSG00000105607
ENSG00000099956
ENSG00000120942
ENSG00000160062
ENSG00000148737
ENSG00000007541
ENSG00000153774
ENSG00000004766
ENSG00000273559
ENSG00000068097
ENSG00000148814
ENSG00000163738
ENSG00000120539
ENSG00000107566
ENSG00000149115
ENSG00000119906
ENSG00000108771
ENSG00000119844
ENSG00000160551
ENSG00000148688
ENSG00000163697
ENSG00000124120
ENSG00000115827
ENSG00000187522
ENSG00000100442
ENSG00000165406
ENSG00000111300
ENSG00000033030
ENSG00000111785
ENSG00000168807
ENSG00000123728
ENSG00000185129
ENSG00000166411
ENSG00000112339
ENSG00000118600
ENSG00000188566
ENSG00000156709
ENSG00000139826
ENSG00000161813
ENSG00000103932
ENSG00000155957
ENSG00000066422
ENSG00000083642
ENSG00000197586
ENSG00000082213
ENSG00000180357
ENSG00000164609
ENSG00000063176
ENSG00000120868
ENSG00000163159
ENSG00000040341
ENSG00000203791
ENSG00000141013
ENSG00000168734
ENSG00000247315
ENSG00000170385
ENSG00000125651
ENSG00000080845
ENSG00000140694
ENSG00000114098
ENSG00000186812
ENSG00000103160
ENSG00000241839
ENSG00000198265
ENSG00000091640
ENSG00000125686
ENSG00000110047
ENSG00000170802
ENSG00000103037
ENSG00000145675
ENSG00000142556
ENSG00000066135
ENSG00000101997
ENSG00000146909
ENSG00000102753
ENSG00000170265
ENSG00000096070
ENSG00000141429
ENSG00000109270
ENSG00000157349
ENSG00000184203
ENSG00000103248
ENSG00000188419
ENSG00000135828
