,ig_rank,saliency_rank,gs_rank
398,ENSG00000162676.10,ENSG00000147457.12,ENSG00000149179.12
399,ENSG00000162402.11,ENSG00000103152.10,ENSG00000185305.9
400,ENSG00000070718.10,ENSG00000100242.14,ENSG00000180182.9
401,ENSG00000164967.8,ENSG00000187676.7,ENSG00000035681.6
402,ENSG00000197471.10,ENSG00000166263.12,ENSG00000050748.16
403,ENSG00000048991.15,ENSG00000152382.5,ENSG00000172273.11
404,ENSG00000164045.10,ENSG00000011132.10,ENSG00000132591.10
405,ENSG00000112799.7,ENSG00000075336.10,ENSG00000169951.8
406,ENSG00000175105.5,ENSG00000166529.13,ENSG00000154781.14
407,ENSG00000213024.9,ENSG00000133612.17,ENSG00000138032.19
408,ENSG00000100365.13,ENSG00000138613.12,ENSG00000163512.12
409,ENSG00000105085.9,ENSG00000101997.11,ENSG00000137574.9
410,ENSG00000013503.8,ENSG00000175595.13,ENSG00000169016.15
411,ENSG00000132792.17,ENSG00000120253.12,ENSG00000113048.15
412,ENSG00000215251.3,ENSG00000169410.8,ENSG00000169895.5
413,ENSG00000100479.11,ENSG00000132481.5,ENSG00000188554.12
414,ENSG00000261236.4,ENSG00000180881.18,ENSG00000165417.10
415,ENSG00000139618.13,ENSG00000143376.11,ENSG00000186814.11
416,ENSG00000250571.5,ENSG00000169660.14,ENSG00000104714.12
417,ENSG00000126453.8,ENSG00000034693.13,ENSG00000215712.9
418,ENSG00000163312.9,ENSG00000134247.9,ENSG00000120685.18
419,ENSG00000010539.10,ENSG00000182095.13,ENSG00000064102.13
420,ENSG00000101605.11,ENSG00000087088.18,ENSG00000165660.7
421,ENSG00000163166.12,ENSG00000113569.14,ENSG00000100425.17
422,ENSG00000167186.9,ENSG00000174547.12,ENSG00000001167.13
423,ENSG00000159459.10,ENSG00000091157.12,ENSG00000173264.12
424,ENSG00000157800.16,ENSG00000169032.8,ENSG00000101391.19
425,ENSG00000197619.12,ENSG00000154639.17,ENSG00000136560.12
426,ENSG00000150456.9,ENSG00000163635.16,ENSG00000182400.13
427,ENSG00000152380.8,ENSG00000156345.16,ENSG00000161204.10
428,ENSG00000120278.13,ENSG00000172007.5,ENSG00000125485.16
429,ENSG00000177082.11,ENSG00000247315.3,ENSG00000198408.12
430,ENSG00000171988.16,ENSG00000147010.16,ENSG00000169599.11
431,ENSG00000011198.6,ENSG00000143344.14,ENSG00000011566.13
432,ENSG00000104903.4,ENSG00000027075.12,ENSG00000162642.12
433,ENSG00000169826.7,ENSG00000101546.11,ENSG00000196652.10
434,ENSG00000196588.13,ENSG00000198646.12,ENSG00000104299.13
435,ENSG00000150455.12,ENSG00000143622.9,ENSG00000171169.8
436,ENSG00000196437.9,ENSG00000122490.17,ENSG00000143337.17
437,ENSG00000177453.6,ENSG00000111196.8,ENSG00000116750.12
438,ENSG00000164902.12,ENSG00000057935.12,ENSG00000117222.12
439,ENSG00000106344.7,ENSG00000061273.16,ENSG00000243660.8
440,ENSG00000151876.11,ENSG00000154222.13,ENSG00000132604.9
441,ENSG00000024526.15,ENSG00000211460.10,ENSG00000172171.9
442,ENSG00000150967.16,ENSG00000160753.14,ENSG00000167904.13
443,ENSG00000196313.10,ENSG00000204634.11,ENSG00000060491.15
444,ENSG00000135972.7,ENSG00000085382.10,ENSG00000196504.14
445,ENSG00000117399.12,ENSG00000162231.12,ENSG00000178974.8
446,ENSG00000133997.10,ENSG00000156504.15,ENSG00000124380.9
447,ENSG00000185305.9,ENSG00000116874.10,ENSG00000142039.3
448,ENSG00000153896.16,ENSG00000072364.11,ENSG00000158796.15
449,ENSG00000105926.14,ENSG00000121068.12,ENSG00000241553.11
450,ENSG00000116701.13,ENSG00000165632.7,ENSG00000163104.16
451,ENSG00000078487.16,ENSG00000114480.11,ENSG00000134970.13
452,ENSG00000169951.8,ENSG00000163617.9,ENSG00000198730.6
453,ENSG00000138032.19,ENSG00000122417.14,ENSG00000166484.18
454,ENSG00000137574.9,ENSG00000163933.8,ENSG00000064419.12
455,ENSG00000169016.15,ENSG00000082701.13,ENSG00000140320.10
456,ENSG00000169895.5,ENSG00000134748.12,ENSG00000137575.10
457,ENSG00000165417.10,ENSG00000124659.6,ENSG00000177613.8
458,ENSG00000186814.11,ENSG00000012660.12,ENSG00000143952.18
459,ENSG00000104714.12,ENSG00000175110.10,ENSG00000132153.13
460,ENSG00000215712.9,ENSG00000146540.13,ENSG00000137824.14
461,ENSG00000120685.18,ENSG00000126775.8,ENSG00000133983.13
462,ENSG00000064102.13,ENSG00000121892.13,ENSG00000141664.8
463,ENSG00000133619.16,ENSG00000109118.12,ENSG00000147586.8
464,ENSG00000198108.3,ENSG00000107643.14,ENSG00000048405.8
465,ENSG00000143951.14,ENSG00000096696.12,ENSG00000262246.4
466,ENSG00000001167.13,ENSG00000182628.11,ENSG00000143643.11
467,ENSG00000173264.12,ENSG00000117505.11,ENSG00000066654.11
468,ENSG00000136560.12,ENSG00000101189.6,ENSG00000136682.13
469,ENSG00000182400.13,ENSG00000133398.3,ENSG00000130165.9
470,ENSG00000150540.12,ENSG00000006194.9,ENSG00000215041.8
471,ENSG00000183765.19,ENSG00000143514.15,ENSG00000152223.11
472,ENSG00000125485.16,ENSG00000159352.14,ENSG00000147601.12
473,ENSG00000198408.12,ENSG00000130844.15,ENSG00000148842.16
474,ENSG00000092853.12,ENSG00000177570.12,ENSG00000162613.15
475,ENSG00000162642.12,ENSG00000111358.12,ENSG00000173889.14
476,ENSG00000196652.10,ENSG00000115286.18,ENSG00000104872.9
477,ENSG00000104299.13,ENSG00000269556.6,ENSG00000156162.15
478,ENSG00000117222.12,ENSG00000122435.8,ENSG00000112144.14
479,ENSG00000243660.8,ENSG00000166949.14,ENSG00000166398.11
480,ENSG00000172171.9,ENSG00000100599.14,ENSG00000175756.12
481,ENSG00000131848.8,ENSG00000141101.11,ENSG00000047188.14
482,ENSG00000167904.13,ENSG00000205531.11,ENSG00000157014.9
483,ENSG00000188033.8,ENSG00000100281.12,ENSG00000120948.14
484,ENSG00000124380.9,ENSG00000167601.10,ENSG00000116704.7
485,ENSG00000008128.21,ENSG00000179104.7,ENSG00000139131.11
486,ENSG00000163104.16,ENSG00000108590.9,ENSG00000109536.10
487,ENSG00000166192.13,ENSG00000152556.14,ENSG00000166167.16
488,ENSG00000162542.12,ENSG00000163214.19,ENSG00000039650.8
489,ENSG00000198730.6,ENSG00000171552.11,ENSG00000048028.10
490,ENSG00000204267.12,ENSG00000156787.15,ENSG00000165494.9
491,ENSG00000143952.18,ENSG00000144843.10,ENSG00000204130.11
492,ENSG00000136111.11,ENSG00000196152.9,ENSG00000174915.10
493,ENSG00000137824.14,ENSG00000144134.17,ENSG00000135250.15
494,ENSG00000141664.8,ENSG00000186017.13,ENSG00000041357.14
495,ENSG00000147586.8,ENSG00000161996.16,ENSG00000065615.12
496,ENSG00000173218.13,ENSG00000145494.10,ENSG00000090674.14
497,ENSG00000048405.8,ENSG00000119048.6,ENSG00000100714.14
498,ENSG00000262246.4,ENSG00000179988.12,ENSG00000100445.15
499,ENSG00000143643.11,ENSG00000188566.10,ENSG00000119541.8
500,ENSG00000136682.13,ENSG00000102870.5,ENSG00000164164.14
501,ENSG00000215041.8,ENSG00000023041.10,ENSG00000108506.10
502,ENSG00000152223.11,ENSG00000085788.12,ENSG00000156860.14
503,ENSG00000184060.9,ENSG00000067208.13,ENSG00000141499.15
504,ENSG00000147601.12,ENSG00000062650.16,ENSG00000146872.16
505,ENSG00000173889.14,ENSG00000008869.10,ENSG00000104331.7
506,ENSG00000156162.15,ENSG00000137992.13,ENSG00000168591.14
507,ENSG00000112144.14,ENSG00000167395.10,ENSG00000275700.3
508,ENSG00000047188.14,ENSG00000175931.11,ENSG00000165264.9
509,ENSG00000157014.9,ENSG00000155256.16,ENSG00000111605.15
510,ENSG00000172748.11,ENSG00000171222.9,ENSG00000011275.17
511,ENSG00000116704.7,ENSG00000030110.11,ENSG00000169371.12
512,ENSG00000139131.11,ENSG00000151353.13,ENSG00000131408.12
513,ENSG00000048028.10,ENSG00000182318.5,ENSG00000115520.7
514,ENSG00000065413.15,ENSG00000099904.14,ENSG00000198130.13
515,ENSG00000165494.9,ENSG00000169118.14,ENSG00000176410.7
516,ENSG00000204130.11,ENSG00000188878.15,ENSG00000104047.13
517,ENSG00000167562.10,ENSG00000116668.11,ENSG00000083642.17
518,ENSG00000135250.15,ENSG00000139173.8,ENSG00000180104.14
519,ENSG00000090975.11,ENSG00000144283.20,ENSG00000112200.15
520,ENSG00000065615.12,ENSG00000145416.12,ENSG00000114125.12
521,ENSG00000100445.15,ENSG00000198081.9,ENSG00000240344.7
522,ENSG00000235453.6,ENSG00000133401.14,ENSG00000170802.14
523,ENSG00000137807.12,ENSG00000103037.10,ENSG00000108854.14
524,ENSG00000119541.8,ENSG00000105976.13,ENSG00000129197.13
525,ENSG00000140406.3,ENSG00000183621.14,ENSG00000147164.10
526,ENSG00000108506.10,ENSG00000157873.16,ENSG00000119950.19
527,ENSG00000141499.15,ENSG00000157869.13,ENSG00000164073.8
528,ENSG00000136630.12,ENSG00000117266.14,ENSG00000099381.15
529,ENSG00000100749.6,ENSG00000185278.13,ENSG00000138600.8
530,ENSG00000146872.16,ENSG00000136098.15,ENSG00000130244.11
531,ENSG00000275700.3,ENSG00000100271.15,ENSG00000198586.12
532,ENSG00000174799.9,ENSG00000134046.10,ENSG00000038274.15
533,ENSG00000106336.11,ENSG00000106346.10,ENSG00000168936.9
534,ENSG00000169371.12,ENSG00000126391.12,ENSG00000149231.10
535,ENSG00000166839.15,ENSG00000105671.10,ENSG00000155957.15
536,ENSG00000176410.7,ENSG00000178966.14,ENSG00000162623.14
537,ENSG00000013810.17,ENSG00000112561.16,ENSG00000115816.12
538,ENSG00000104047.13,ENSG00000160783.18,ENSG00000144579.6
539,ENSG00000083642.17,ENSG00000162851.7,ENSG00000115317.10
540,ENSG00000115687.12,ENSG00000149418.9,ENSG00000165732.11
541,ENSG00000155926.12,ENSG00000118960.11,ENSG00000107651.11
542,ENSG00000083097.13,ENSG00000101856.9,ENSG00000158526.7
543,ENSG00000144554.9,ENSG00000126524.8,ENSG00000131263.11
544,ENSG00000144426.17,ENSG00000126767.16,ENSG00000128463.11
545,ENSG00000240344.7,ENSG00000107874.9,ENSG00000142546.12
546,ENSG00000162994.14,ENSG00000134318.12,ENSG00000120647.8
547,ENSG00000047230.13,ENSG00000008405.10,ENSG00000012983.10
548,ENSG00000134490.12,ENSG00000037757.12,ENSG00000166200.13
549,ENSG00000170802.14,ENSG00000168096.13,ENSG00000118363.10
550,ENSG00000108854.14,ENSG00000169217.7,ENSG00000167302.8
551,ENSG00000119950.19,ENSG00000133275.14,ENSG00000130584.9
552,ENSG00000196526.9,ENSG00000196605.6,ENSG00000142065.12
553,ENSG00000164073.8,ENSG00000065613.12,ENSG00000167272.9
554,ENSG00000198586.12,ENSG00000130479.9,ENSG00000037474.13
555,ENSG00000149231.10,ENSG00000154114.11,ENSG00000181027.9
556,ENSG00000155957.15,ENSG00000155016.16,ENSG00000139921.11
557,ENSG00000115816.12,ENSG00000103544.13,ENSG00000110060.7
558,ENSG00000115317.10,ENSG00000164292.11,ENSG00000123552.16
559,ENSG00000165732.11,ENSG00000109667.10,ENSG00000154889.15
560,ENSG00000107651.11,ENSG00000167523.12,ENSG00000111785.17
561,ENSG00000158526.7,ENSG00000186364.10,ENSG00000127220.5
562,ENSG00000131263.11,ENSG00000175193.11,ENSG00000108592.15
563,ENSG00000137834.13,ENSG00000181982.16,ENSG00000136940.12
564,ENSG00000128463.11,ENSG00000116096.5,ENSG00000164253.11
565,ENSG00000120647.8,ENSG00000117395.9,ENSG00000164880.14
566,ENSG00000123444.12,ENSG00000137822.11,ENSG00000033030.12
567,ENSG00000012983.10,ENSG00000133731.8,ENSG00000259956.1
568,ENSG00000131831.16,ENSG00000163291.13,ENSG00000177683.12
569,ENSG00000167302.8,ENSG00000100410.6,ENSG00000125945.13
570,ENSG00000130584.9,ENSG00000131153.7,ENSG00000124641.13
571,ENSG00000142065.12,ENSG00000159147.16,ENSG00000164941.12
572,ENSG00000114013.14,ENSG00000049541.9,ENSG00000047249.15
573,ENSG00000037474.13,ENSG00000115425.12,ENSG00000065491.8
574,ENSG00000139921.11,ENSG00000167969.11,ENSG00000132964.10
575,ENSG00000168301.11,ENSG00000257218.4,ENSG00000112234.7
576,ENSG00000160013.7,ENSG00000154124.4,ENSG00000130254.10
577,ENSG00000110060.7,ENSG00000100228.11,ENSG00000166352.14
578,ENSG00000123552.16,ENSG00000134897.12,ENSG00000066422.4
579,ENSG00000154889.15,ENSG00000173992.7,ENSG00000116903.7
580,ENSG00000111785.17,ENSG00000161955.15,ENSG00000172939.7
581,ENSG00000127220.5,ENSG00000174684.6,ENSG00000141013.13
582,ENSG00000136940.12,ENSG00000130299.15,ENSG00000205629.10
583,ENSG00000164253.11,ENSG00000165644.9,ENSG00000149532.14
584,ENSG00000033030.12,ENSG00000151694.11,ENSG00000167967.14
585,ENSG00000259956.1,ENSG00000206535.6,ENSG00000028528.13
586,ENSG00000177683.12,ENSG00000100478.13,ENSG00000153443.11
587,ENSG00000120262.9,ENSG00000125170.9,ENSG00000106086.17
588,ENSG00000125945.13,ENSG00000126858.15,ENSG00000197771.11
589,ENSG00000164941.12,ENSG00000204227.4,ENSG00000123595.6
590,ENSG00000132964.10,ENSG00000078070.10,ENSG00000151422.11
591,ENSG00000112234.7,ENSG00000120896.12,ENSG00000137500.8
592,ENSG00000166352.14,ENSG00000137814.8,ENSG00000047346.11
593,ENSG00000066422.4,ENSG00000178409.12,ENSG00000168246.5
594,ENSG00000116903.7,ENSG00000137710.13,ENSG00000115839.16
595,ENSG00000172939.7,ENSG00000032219.17,ENSG00000103351.11
596,ENSG00000141013.13,ENSG00000180891.11,ENSG00000148331.10
597,ENSG00000138646.7,ENSG00000117593.9,ENSG00000175213.2
598,ENSG00000106086.17,ENSG00000162928.8,ENSG00000162377.5
599,ENSG00000128536.14,ENSG00000094804.8,ENSG00000189227.5
600,ENSG00000151422.11,ENSG00000123064.11,ENSG00000175054.13
601,ENSG00000137500.8,ENSG00000176853.14,ENSG00000127580.14
602,ENSG00000047346.11,ENSG00000213445.7,ENSG00000136897.7
603,ENSG00000168246.5,ENSG00000197498.11,ENSG00000101966.11
604,ENSG00000115839.16,ENSG00000141424.11,ENSG00000163872.14
605,ENSG00000103351.11,ENSG00000109519.11,ENSG00000128563.12
606,ENSG00000148331.10,ENSG00000136802.10,ENSG00000132313.13
607,ENSG00000175213.2,ENSG00000196646.10,ENSG00000166037.9
608,ENSG00000156042.16,ENSG00000188026.10,ENSG00000028310.16
609,ENSG00000108798.7,ENSG00000170234.11,ENSG00000159579.12
610,ENSG00000162377.5,ENSG00000110057.6,ENSG00000112167.8
611,ENSG00000175054.13,ENSG00000197713.13,ENSG00000121486.10
612,ENSG00000127580.14,ENSG00000166348.16,ENSG00000172466.14
613,ENSG00000136897.7,ENSG00000111445.12,ENSG00000130305.15
614,ENSG00000163872.14,ENSG00000189060.5,ENSG00000133858.14
615,ENSG00000139278.8,ENSG00000163349.20,ENSG00000123607.13
616,ENSG00000185989.10,ENSG00000138430.14,ENSG00000095015.5
617,ENSG00000135414.8,ENSG00000120910.13,ENSG00000106244.11
618,ENSG00000176024.15,ENSG00000104375.14,ENSG00000145016.12
619,ENSG00000172466.14,ENSG00000164609.8,ENSG00000143977.12
620,ENSG00000130305.15,ENSG00000089351.13,ENSG00000166902.4
621,ENSG00000133858.14,ENSG00000096401.7,ENSG00000139625.11
622,ENSG00000123607.13,ENSG00000075292.17,ENSG00000119203.12
623,ENSG00000095015.5,ENSG00000172006.10,ENSG00000008256.14
624,ENSG00000068831.17,ENSG00000104825.15,ENSG00000118046.13
625,ENSG00000145016.12,ENSG00000125319.13,ENSG00000111875.7
626,ENSG00000143977.12,ENSG00000183735.8,ENSG00000108946.13
627,ENSG00000271605.4,ENSG00000134954.13,ENSG00000169519.18
628,ENSG00000139625.11,ENSG00000169733.10,ENSG00000081154.10
629,ENSG00000119203.12,ENSG00000119401.10,ENSG00000011523.12
630,ENSG00000008256.14,ENSG00000163251.3,ENSG00000125656.7
631,ENSG00000184271.14,ENSG00000160633.11,ENSG00000118260.13
632,ENSG00000090097.19,ENSG00000070269.12,ENSG00000164252.11
633,ENSG00000111875.7,ENSG00000175787.15,ENSG00000076003.4
634,ENSG00000169519.18,ENSG00000169375.14,ENSG00000105676.12
635,ENSG00000188404.7,ENSG00000126456.14,ENSG00000161013.15
636,ENSG00000118260.13,ENSG00000167900.10,ENSG00000163870.13
637,ENSG00000138794.8,ENSG00000143379.11,ENSG00000107816.16
638,ENSG00000164252.11,ENSG00000166689.13,ENSG00000132382.13
639,ENSG00000076003.4,ENSG00000095951.15,ENSG00000114098.16
640,ENSG00000163870.13,ENSG00000168438.13,ENSG00000176261.14
641,ENSG00000167984.15,ENSG00000204482.9,ENSG00000115947.12
642,ENSG00000149150.7,ENSG00000157349.14,ENSG00000170445.11
643,ENSG00000114098.16,ENSG00000042429.9,ENSG00000188010.11
644,ENSG00000118762.6,ENSG00000124151.17,ENSG00000230124.5
645,ENSG00000248712.6,ENSG00000185909.13,ENSG00000174405.12
646,ENSG00000188010.11,ENSG00000185024.14,ENSG00000136536.13
647,ENSG00000129534.12,ENSG00000126062.3,ENSG00000187257.13
648,ENSG00000205220.10,ENSG00000182809.9,ENSG00000142556.17
649,ENSG00000174405.12,ENSG00000204604.8,ENSG00000145912.7
650,ENSG00000136536.13,ENSG00000096060.13,ENSG00000126216.11
651,ENSG00000142556.17,ENSG00000140307.9,ENSG00000148943.10
652,ENSG00000155111.13,ENSG00000162645.11,ENSG00000146909.6
653,ENSG00000126216.11,ENSG00000185129.5,ENSG00000120832.8
654,ENSG00000148943.10,ENSG00000124160.10,ENSG00000181555.18
655,ENSG00000146909.6,ENSG00000141295.12,ENSG00000116062.13
656,ENSG00000120832.8,ENSG00000275052.3,ENSG00000123106.9
657,ENSG00000116062.13,ENSG00000149636.14,ENSG00000166478.8
658,ENSG00000123106.9,ENSG00000163714.16,ENSG00000113068.8
659,ENSG00000166478.8,ENSG00000196507.9,ENSG00000131669.8
660,ENSG00000131669.8,ENSG00000121851.11,ENSG00000110274.13
661,ENSG00000110274.13,ENSG00000138785.13,ENSG00000167258.12
662,ENSG00000167258.12,ENSG00000073614.10,ENSG00000107771.14
663,ENSG00000145715.13,ENSG00000177565.14,ENSG00000145715.13
664,ENSG00000077514.7,ENSG00000147121.14,ENSG00000116698.19
665,ENSG00000168734.12,ENSG00000131759.16,ENSG00000077514.7
666,ENSG00000103550.12,ENSG00000247596.7,ENSG00000168734.12
667,ENSG00000102078.14,ENSG00000106052.12,ENSG00000103550.12
668,ENSG00000005339.11,ENSG00000135837.14,ENSG00000102078.14
669,ENSG00000185862.6,ENSG00000260027.4,ENSG00000005339.11
670,ENSG00000273899.3,ENSG00000138604.8,ENSG00000273899.3
671,ENSG00000196850.5,ENSG00000167232.12,ENSG00000196850.5
672,ENSG00000213799.9,ENSG00000186638.14,ENSG00000142892.13
673,ENSG00000175463.10,ENSG00000104907.11,ENSG00000165487.12
674,ENSG00000165487.12,ENSG00000167535.6,ENSG00000138286.13
675,ENSG00000109689.13,ENSG00000185515.13,ENSG00000198026.7
676,ENSG00000156502.12,ENSG00000145819.14,ENSG00000109689.13
677,ENSG00000112851.13,ENSG00000109270.11,ENSG00000125970.10
678,ENSG00000132510.9,ENSG00000113916.16,ENSG00000133243.7
679,ENSG00000063176.14,ENSG00000140025.14,ENSG00000156502.12
680,ENSG00000138614.13,ENSG00000076944.13,ENSG00000114416.16
681,ENSG00000276234.3,ENSG00000186566.10,ENSG00000126777.16
682,ENSG00000156469.7,ENSG00000136237.17,ENSG00000112851.13
683,ENSG00000105732.11,ENSG00000065243.17,ENSG00000132510.9
684,ENSG00000130755.11,ENSG00000173548.8,ENSG00000063176.14
685,ENSG00000107036.10,ENSG00000158941.15,ENSG00000138614.13
686,ENSG00000148459.14,ENSG00000065457.9,ENSG00000139405.14
687,ENSG00000156017.11,ENSG00000178999.11,ENSG00000276234.3
688,ENSG00000132768.12,ENSG00000142949.15,ENSG00000174886.11
689,ENSG00000062822.11,ENSG00000134243.10,ENSG00000187118.11
690,ENSG00000266028.6,ENSG00000117602.10,ENSG00000179943.7
691,ENSG00000111300.8,ENSG00000187079.13,ENSG00000156469.7
692,ENSG00000113658.15,ENSG00000149476.13,ENSG00000066117.13
693,ENSG00000172239.12,ENSG00000176974.16,ENSG00000105732.11
694,ENSG00000138463.8,ENSG00000115827.12,ENSG00000141560.13
695,ENSG00000187676.7,ENSG00000087338.4,ENSG00000159111.11
696,ENSG00000166263.12,ENSG00000114541.13,ENSG00000107036.10
697,ENSG00000011132.10,ENSG00000181896.10,ENSG00000153147.5
698,ENSG00000075336.10,ENSG00000114933.14,ENSG00000156017.11
699,ENSG00000166529.13,ENSG00000178922.15,ENSG00000132768.12
700,ENSG00000101997.11,ENSG00000133466.12,ENSG00000170584.9
701,ENSG00000175595.13,ENSG00000135828.10,ENSG00000183475.11
702,ENSG00000120253.12,ENSG00000165195.12,ENSG00000111300.8
703,ENSG00000169410.8,ENSG00000183137.13,ENSG00000122257.17
704,ENSG00000180881.18,ENSG00000174106.2,ENSG00000113658.15
705,ENSG00000034693.13,ENSG00000119650.11,ENSG00000172239.12
706,ENSG00000091157.12,ENSG00000127955.14,ENSG00000138463.8
707,ENSG00000163635.16,ENSG00000162694.12,ENSG00000147457.12
708,ENSG00000172007.5,ENSG00000198160.13,ENSG00000187676.7
709,ENSG00000247315.3,ENSG00000176834.12,ENSG00000166263.12
710,ENSG00000143344.14,ENSG00000164951.14,ENSG00000011132.10
711,ENSG00000027075.12,ENSG00000152904.10,ENSG00000075336.10
712,ENSG00000101546.11,ENSG00000077254.13,ENSG00000166529.13
713,ENSG00000143622.9,ENSG00000103174.10,ENSG00000133612.17
714,ENSG00000122490.17,ENSG00000001631.13,ENSG00000101997.11
715,ENSG00000111196.8,ENSG00000015133.17,ENSG00000120253.12
716,ENSG00000057935.12,ENSG00000229809.7,ENSG00000169410.8
717,ENSG00000061273.16,ENSG00000105173.12,ENSG00000034693.13
718,ENSG00000085382.10,ENSG00000161714.10,ENSG00000091157.12
719,ENSG00000156504.15,ENSG00000130935.8,ENSG00000169032.8
720,ENSG00000116874.10,ENSG00000105607.11,ENSG00000163635.16
721,ENSG00000114480.11,ENSG00000152818.17,ENSG00000172007.5
722,ENSG00000163933.8,ENSG00000131626.14,ENSG00000247315.3
723,ENSG00000175110.10,ENSG00000133321.9,ENSG00000101546.11
724,ENSG00000146540.13,ENSG00000101246.18,ENSG00000122490.17
725,ENSG00000126775.8,ENSG00000131023.11,ENSG00000111196.8
726,ENSG00000121892.13,ENSG00000087095.11,ENSG00000057935.12
727,ENSG00000109118.12,ENSG00000120318.14,ENSG00000061273.16
728,ENSG00000107643.14,ENSG00000173226.15,ENSG00000154222.13
729,ENSG00000182628.11,ENSG00000144231.9,ENSG00000211460.10
730,ENSG00000117505.11,ENSG00000160741.15,ENSG00000085382.10
731,ENSG00000122435.8,ENSG00000113597.16,ENSG00000162231.12
732,ENSG00000100281.12,ENSG00000117000.8,ENSG00000156504.15
733,ENSG00000108590.9,ENSG00000163938.15,ENSG00000116874.10
734,ENSG00000163214.19,ENSG00000149308.15,ENSG00000072364.11
735,ENSG00000156787.15,ENSG00000132356.10,ENSG00000165632.7
736,ENSG00000144843.10,ENSG00000075303.11,ENSG00000114480.11
737,ENSG00000196152.9,ENSG00000113812.12,ENSG00000163933.8
738,ENSG00000144134.17,ENSG00000141971.11,ENSG00000082701.13
739,ENSG00000186017.13,ENSG00000166938.11,ENSG00000134748.12
740,ENSG00000119048.6,ENSG00000197971.13,ENSG00000124659.6
741,ENSG00000179988.12,ENSG00000116353.14,ENSG00000175110.10
742,ENSG00000188566.10,ENSG00000198431.14,ENSG00000146540.13
743,ENSG00000085788.12,ENSG00000119574.11,ENSG00000126775.8
744,ENSG00000067208.13,ENSG00000141569.9,ENSG00000121892.13
745,ENSG00000062650.16,ENSG00000163468.13,ENSG00000109118.12
746,ENSG00000008869.10,ENSG00000120925.12,ENSG00000107643.14
747,ENSG00000137992.13,ENSG00000113119.11,ENSG00000182628.11
748,ENSG00000167395.10,ENSG00000145687.14,ENSG00000117505.11
749,ENSG00000175931.11,ENSG00000104518.9,ENSG00000133398.3
750,ENSG00000151353.13,ENSG00000178988.10,ENSG00000006194.9
751,ENSG00000182318.5,ENSG00000135365.14,ENSG00000143514.15
752,ENSG00000169118.14,ENSG00000105778.16,ENSG00000159352.14
753,ENSG00000188878.15,ENSG00000177971.8,ENSG00000122435.8
754,ENSG00000116668.11,ENSG00000155275.17,ENSG00000205531.11
755,ENSG00000139173.8,ENSG00000080845.16,ENSG00000100281.12
756,ENSG00000144283.20,ENSG00000132694.17,ENSG00000108590.9
757,ENSG00000145416.12,ENSG00000173457.9,ENSG00000163214.19
758,ENSG00000198081.9,ENSG00000168807.15,ENSG00000196152.9
759,ENSG00000103037.10,ENSG00000171492.13,ENSG00000186017.13
760,ENSG00000183621.14,ENSG00000111911.6,ENSG00000119048.6
761,ENSG00000157869.13,ENSG00000141564.12,ENSG00000179988.12
762,ENSG00000185278.13,ENSG00000147679.10,ENSG00000188566.10
763,ENSG00000136098.15,ENSG00000158623.13,ENSG00000102870.5
764,ENSG00000100271.15,ENSG00000073910.18,ENSG00000023041.10
765,ENSG00000106346.10,ENSG00000121644.17,ENSG00000085788.12
766,ENSG00000126391.12,ENSG00000116199.10,ENSG00000067208.13
767,ENSG00000178966.14,ENSG00000107338.9,ENSG00000062650.16
768,ENSG00000160783.18,ENSG00000135968.18,ENSG00000008869.10
769,ENSG00000118960.11,ENSG00000171574.16,ENSG00000137992.13
770,ENSG00000107874.9,ENSG00000029639.9,ENSG00000167395.10
771,ENSG00000134318.12,ENSG00000112592.11,ENSG00000175931.11
772,ENSG00000008405.10,ENSG00000270170.1,ENSG00000155256.16
773,ENSG00000168096.13,ENSG00000166997.6,ENSG00000171222.9
774,ENSG00000133275.14,ENSG00000171700.12,ENSG00000151353.13
775,ENSG00000196605.6,ENSG00000178028.12,ENSG00000182318.5
776,ENSG00000065613.12,ENSG00000187244.9,ENSG00000169118.14
777,ENSG00000154114.11,ENSG00000068383.17,ENSG00000116668.11
778,ENSG00000155016.16,ENSG00000144357.15,ENSG00000144283.20
779,ENSG00000103544.13,ENSG00000151718.14,ENSG00000198081.9
780,ENSG00000167523.12,ENSG00000170631.13,ENSG00000103037.10
781,ENSG00000186364.10,ENSG00000100209.8,ENSG00000183621.14
782,ENSG00000175193.11,ENSG00000105771.12,ENSG00000157869.13
783,ENSG00000181982.16,ENSG00000143322.18,ENSG00000100271.15
784,ENSG00000137822.11,ENSG00000149782.10,ENSG00000106346.10
785,ENSG00000100410.6,ENSG00000133789.13,ENSG00000126391.12
786,ENSG00000131153.7,ENSG00000138801.7,ENSG00000105671.10
787,ENSG00000159147.16,ENSG00000132825.6,ENSG00000178966.14
788,ENSG00000049541.9,ENSG00000149474.12,ENSG00000160783.18
789,ENSG00000115425.12,ENSG00000100938.16,ENSG00000118960.11
790,ENSG00000257218.4,ENSG00000110046.11,ENSG00000101856.9
791,ENSG00000134897.12,ENSG00000112655.14,ENSG00000126524.8
792,ENSG00000161955.15,ENSG00000168000.13,ENSG00000107874.9
793,ENSG00000130299.15,ENSG00000168564.5,ENSG00000134318.12
794,ENSG00000165644.9,ENSG00000058729.9,ENSG00000008405.10
795,ENSG00000151694.11,ENSG00000128891.14,ENSG00000168096.13
796,ENSG00000206535.6,ENSG00000018510.11,ENSG00000169217.7
