gene_id,ig_rank,saliency_rank,gbp_rank,gs_rank
ENSG00000109586.10,660.1925434,15.75054995,15.75054995,88.27358413
ENSG00000175854.10,718.2068251,15.74951302,15.74951302,50.08715773
ENSG00000008311.13,587.2176835,15.74617356,15.74617356,97.57897486
ENSG00000197467.12,412.9239302,15.7455939,15.7455939,88.21221262
ENSG00000185432.11,826.5301856,15.74020776,15.74020776,92.25654452
ENSG00000176340.3,1042.797972,15.74006746,15.74006746,56.86860164
ENSG00000156253.5,626.7172153,15.73977117,15.73977117,43.60464588
ENSG00000181378.12,420.5024112,15.73968615,15.73968615,208.7531039
ENSG00000121413.11,593.5342913,15.73701994,15.73701994,87.54326544
ENSG00000182247.8,641.4025276,15.73651175,15.73651175,68.79394991
ENSG00000167766.17,651.0419086,15.73572211,15.73572211,66.74673679
ENSG00000121297.6,627.2494691,15.73570844,15.73570844,98.04039909
ENSG00000065485.16,673.6960547,15.73067559,15.73067559,63.54059398
ENSG00000132405.17,677.9203481,15.72713821,15.72713821,77.55094036
ENSG00000123836.13,699.9770731,15.72580202,15.72580202,72.81522954
ENSG00000117477.11,389.8437917,15.72471678,15.72471678,112.7519374
ENSG00000120549.14,659.9890261,15.72249638,15.72249638,79.31261795
ENSG00000204172.10,451.6342417,15.71867296,15.71867296,66.06685137
ENSG00000136156.11,862.6420547,15.7172115,15.7172115,49.23125596
ENSG00000159200.16,791.7187547,15.7169815,15.7169815,79.47337926
ENSG00000007062.10,616.8952704,15.71538338,15.71538338,245.7162187
ENSG00000185686.16,773.191261,15.71322275,15.71322275,522.1705493
ENSG00000188747.7,642.4538238,15.71298547,15.71298547,87.54169398
ENSG00000170881.4,705.559445,15.71255036,15.71255036,46.38963301
ENSG00000168658.17,444.0763056,15.71070393,15.71070393,209.1191952
ENSG00000163479.12,889.0496171,15.71011793,15.71011793,56.63500555
ENSG00000172986.11,544.8238017,15.70814681,15.70814681,117.8119534
